Time [sec]	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Alt [m]	Lon [°]   	Lat [°]   	RI    	Dew [°C]	Vi Te [°C]	MRI    	D [kg/m3]	Rs [m/s]	Elevation [°]	Azimuth [°]	Range [m]
0         	992.3  	1.0   	79    	0.0     	000   	26     	-58.965700	-62.201600	284.80	-2.2    	1.5       	288.88 	0.100405 	0.0     	62.2         	180        	1        
2         	990.4  	0.4   	80    	0.3     	004   	39     	-58.965725	-62.201672	284.90	-2.6    	0.9       	290.99 	0.101614 	6.4     	57.9         	189        	16       
4         	988.4  	-0.2  	81    	0.7     	004   	52     	-58.965749	-62.201744	284.99	-3.1    	0.3       	293.08 	0.102827 	6.4     	57.7         	189        	31       
6         	986.5  	-0.7  	81    	1.0     	004   	64     	-58.965774	-62.201815	285.09	-3.5    	-0.2      	295.19 	0.104046 	6.4     	57.7         	189        	46       
8         	984.5  	-0.9  	82    	1.3     	004   	77     	-58.965799	-62.201887	284.75	-3.6    	-0.4      	296.84 	0.104952 	6.4     	57.6         	189        	61       
10        	982.6  	-1.0  	83    	1.6     	004   	90     	-58.965823	-62.201959	284.33	-3.6    	-0.5      	298.43 	0.105769 	6.4     	57.6         	189        	76       
12        	980.7  	-1.1  	83    	2.0     	004   	103    	-58.965848	-62.202031	283.92	-3.6    	-0.6      	300.01 	0.106587 	6.4     	57.6         	189        	91       
14        	978.7  	-1.2  	84    	2.3     	004   	115    	-58.965873	-62.202102	283.50	-3.6    	-0.7      	301.60 	0.107405 	6.4     	57.6         	189        	106      
16        	976.8  	-1.3  	84    	2.6     	004   	128    	-58.965879	-62.202182	283.08	-3.6    	-0.8      	303.18 	0.108224 	6.4     	57.3         	188        	122      
18        	974.9  	-1.4  	85    	2.9     	004   	141    	-58.965872	-62.202268	282.67	-3.6    	-0.9      	304.78 	0.109043 	6.4     	56.9         	187        	138      
20        	973.0  	-1.5  	86    	3.3     	004   	152    	-58.965864	-62.202354	282.25	-3.6    	-1.0      	306.13 	0.109861 	5.7     	56.2         	186        	152      
22        	971.9  	-1.6  	86    	3.6     	004   	163    	-58.965857	-62.202440	282.03	-3.6    	-1.1      	307.59 	0.110142 	5.4     	55.5         	185        	167      
24        	970.8  	-1.7  	86    	3.9     	004   	174    	-58.965849	-62.202526	281.83	-3.7    	-1.2      	309.08 	0.110391 	5.4     	55.0         	184        	181      
26        	969.7  	-1.7  	86    	4.2     	004   	184    	-58.965842	-62.202612	281.62	-3.7    	-1.3      	310.55 	0.110640 	5.4     	54.5         	184        	195      
28        	968.6  	-1.8  	86    	4.6     	004   	195    	-58.965835	-62.202698	281.41	-3.8    	-1.3      	312.04 	0.110890 	5.4     	54.1         	183        	210      
30        	967.5  	-1.9  	87    	4.9     	004   	206    	-58.965827	-62.202784	281.20	-3.9    	-1.4      	313.52 	0.111140 	5.4     	53.7         	183        	224      
32        	966.4  	-2.0  	87    	4.9     	004   	217    	-58.965820	-62.202870	280.98	-3.9    	-1.5      	314.97 	0.111384 	5.4     	53.4         	183        	238      
34        	965.3  	-2.1  	87    	4.8     	003   	227    	-58.965812	-62.202956	280.74	-4.0    	-1.6      	316.43 	0.111617 	5.4     	53.1         	182        	252      
36        	964.2  	-2.1  	87    	4.8     	003   	238    	-58.965805	-62.203042	280.48	-4.0    	-1.7      	317.85 	0.111546 	5.4     	52.8         	182        	267      
38        	963.0  	-2.2  	87    	4.7     	002   	249    	-58.965797	-62.203128	280.21	-4.1    	-1.7      	319.26 	0.111474 	5.4     	52.6         	182        	281      
40        	961.9  	-2.3  	87    	4.7     	002   	260    	-58.965790	-62.203214	279.95	-4.2    	-1.8      	320.69 	0.111402 	5.4     	52.4         	181        	295      
42        	960.8  	-2.3  	87    	4.6     	001   	270    	-58.965782	-62.203300	279.69	-4.3    	-1.8      	322.11 	0.111330 	5.4     	52.2         	181        	310      
44        	959.6  	-2.4  	86    	4.6     	001   	281    	-58.965775	-62.203386	279.43	-4.3    	-1.9      	323.53 	0.111261 	5.4     	52.0         	181        	324      
46        	958.5  	-2.5  	86    	4.5     	360   	291    	-58.965765	-62.203460	279.18	-4.4    	-2.0      	324.93 	0.111194 	5.3     	52.0         	181        	337      
48        	957.3  	-2.5  	86    	4.5     	359   	302    	-58.965751	-62.203521	278.92	-4.5    	-2.1      	326.29 	0.111154 	5.1     	52.2         	181        	350      
50        	956.1  	-2.6  	86    	4.5     	359   	312    	-58.965738	-62.203582	278.65	-4.6    	-2.2      	327.64 	0.111175 	5.1     	52.3         	181        	362      
52        	954.9  	-2.7  	86    	4.4     	358   	322    	-58.965725	-62.203643	278.39	-4.7    	-2.2      	328.99 	0.111196 	5.1     	52.5         	180        	374      
54        	953.7  	-2.8  	86    	4.4     	358   	333    	-58.965712	-62.203704	278.12	-4.7    	-2.3      	330.34 	0.111216 	5.1     	52.6         	180        	387      
56        	952.5  	-2.9  	86    	4.3     	357   	343    	-58.965698	-62.203766	277.85	-4.8    	-2.4      	331.67 	0.111237 	5.1     	52.7         	180        	399      
58        	951.3  	-2.9  	86    	4.3     	356   	353    	-58.965685	-62.203827	277.59	-4.9    	-2.5      	333.02 	0.111258 	5.1     	52.8         	180        	411      
60        	950.1  	-3.0  	86    	4.3     	356   	363    	-58.965672	-62.203888	277.32	-5.0    	-2.6      	334.38 	0.111279 	5.1     	52.9         	180        	424      
62        	948.8  	-3.1  	86    	4.2     	356   	374    	-58.965658	-62.203949	277.05	-5.0    	-2.6      	335.72 	0.111245 	5.1     	53.0         	180        	436      
64        	947.6  	-3.2  	86    	4.1     	356   	384    	-58.965645	-62.204010	276.77	-5.1    	-2.7      	337.04 	0.111171 	5.1     	53.1         	179        	448      
66        	946.4  	-3.2  	86    	4.0     	356   	394    	-58.965632	-62.204072	276.49	-5.2    	-2.8      	338.38 	0.111098 	5.1     	53.2         	179        	461      
68        	945.2  	-3.3  	86    	4.0     	356   	405    	-58.965619	-62.204133	276.22	-5.3    	-2.9      	339.73 	0.111024 	5.1     	53.3         	179        	473      
70        	943.9  	-3.4  	86    	3.9     	357   	415    	-58.965605	-62.204194	275.95	-5.4    	-3.0      	341.07 	0.110951 	5.1     	53.4         	179        	485      
72        	942.7  	-3.5  	86    	3.8     	357   	425    	-58.965592	-62.204255	275.67	-5.5    	-3.0      	342.41 	0.110879 	5.1     	53.4         	179        	498      
74        	941.5  	-3.6  	86    	3.7     	357   	435    	-58.965579	-62.204316	275.40	-5.6    	-3.1      	343.74 	0.110806 	5.1     	53.5         	179        	510      
76        	940.2  	-3.6  	86    	3.6     	357   	446    	-58.965556	-62.204383	275.11	-5.7    	-3.2      	345.09 	0.110828 	5.2     	53.5         	179        	523      
78        	938.9  	-3.7  	86    	3.6     	358   	456    	-58.965526	-62.204455	274.83	-5.7    	-3.3      	346.43 	0.110866 	5.2     	53.5         	178        	536      
80        	937.7  	-3.8  	86    	3.5     	358   	466    	-58.965495	-62.204527	274.54	-5.8    	-3.4      	347.77 	0.110904 	5.2     	53.5         	178        	549      
82        	936.4  	-3.9  	86    	3.4     	358   	477    	-58.965464	-62.204599	274.26	-5.9    	-3.4      	349.11 	0.110941 	5.2     	53.4         	178        	562      
84        	935.1  	-4.0  	86    	3.3     	359   	487    	-58.965433	-62.204671	273.97	-6.0    	-3.5      	350.46 	0.110978 	5.2     	53.4         	178        	575      
86        	933.8  	-4.0  	86    	3.2     	359   	498    	-58.965402	-62.204743	273.69	-6.0    	-3.6      	351.81 	0.111016 	5.2     	53.4         	177        	588      
88        	932.6  	-4.1  	86    	3.2     	359   	508    	-58.965371	-62.204814	273.40	-6.1    	-3.7      	353.16 	0.111056 	5.2     	53.4         	177        	601      
90        	931.3  	-4.2  	86    	3.1     	360   	518    	-58.965340	-62.204886	273.12	-6.2    	-3.8      	354.51 	0.111114 	5.2     	53.3         	177        	615      
92        	930.0  	-4.3  	86    	3.3     	356   	529    	-58.965309	-62.204958	272.83	-6.3    	-3.8      	355.85 	0.111172 	5.2     	53.3         	177        	628      
94        	928.8  	-4.3  	86    	3.5     	353   	539    	-58.965278	-62.205030	272.55	-6.3    	-3.9      	357.20 	0.111232 	5.2     	53.3         	177        	641      
96        	927.5  	-4.4  	86    	3.6     	350   	550    	-58.965247	-62.205102	272.27	-6.4    	-4.0      	358.56 	0.111292 	5.2     	53.3         	177        	654      
98        	926.2  	-4.5  	86    	3.8     	348   	560    	-58.965216	-62.205174	271.99	-6.5    	-4.1      	359.91 	0.111353 	5.2     	53.2         	176        	667      
100       	925.0  	-4.6  	86    	4.0     	346   	570    	-58.965185	-62.205246	271.71	-6.6    	-4.2      	361.26 	0.111413 	5.2     	53.2         	176        	681      
102       	923.7  	-4.7  	86    	4.2     	344   	581    	-58.965155	-62.205318	271.43	-6.7    	-4.3      	362.60 	0.111450 	5.2     	53.2         	176        	694      
104       	922.4  	-4.8  	86    	4.4     	342   	591    	-58.965124	-62.205390	271.14	-6.8    	-4.4      	363.94 	0.111456 	5.2     	53.2         	176        	707      
106       	921.1  	-4.9  	86    	4.5     	340   	602    	-58.965067	-62.205458	270.86	-6.8    	-4.4      	365.38 	0.111464 	5.4     	53.2         	176        	720      
108       	919.8  	-4.9  	86    	4.7     	338   	613    	-58.964987	-62.205523	270.59	-6.9    	-4.5      	366.88 	0.111475 	5.7     	53.2         	175        	734      
110       	918.6  	-5.0  	86    	4.9     	337   	625    	-58.964906	-62.205588	270.31	-7.0    	-4.6      	368.39 	0.111485 	5.7     	53.3         	175        	747      
112       	917.3  	-5.1  	86    	4.8     	336   	636    	-58.964825	-62.205653	270.04	-7.1    	-4.7      	369.89 	0.111496 	5.7     	53.3         	174        	761      
114       	916.0  	-5.2  	86    	4.7     	335   	647    	-58.964744	-62.205718	269.77	-7.2    	-4.8      	371.39 	0.111506 	5.7     	53.4         	174        	775      
116       	914.6  	-5.3  	86    	4.6     	335   	659    	-58.964663	-62.205783	269.47	-7.3    	-4.9      	372.89 	0.111545 	5.7     	53.4         	173        	788      
118       	913.3  	-5.4  	86    	4.5     	334   	670    	-58.964582	-62.205848	269.17	-7.4    	-5.0      	374.36 	0.111595 	5.7     	53.5         	173        	802      
120       	911.9  	-5.5  	86    	4.4     	333   	681    	-58.964502	-62.205913	268.87	-7.5    	-5.1      	375.83 	0.111643 	5.7     	53.5         	173        	816      
122       	910.6  	-5.6  	86    	4.3     	332   	693    	-58.964421	-62.205978	268.57	-7.6    	-5.2      	377.31 	0.111691 	5.7     	53.5         	172        	829      
124       	909.2  	-5.7  	86    	4.3     	331   	704    	-58.964340	-62.206044	268.26	-7.7    	-5.3      	378.79 	0.111739 	5.7     	53.6         	172        	843      
126       	907.9  	-5.8  	86    	4.2     	330   	715    	-58.964259	-62.206109	267.96	-7.8    	-5.4      	380.26 	0.111787 	5.7     	53.6         	172        	857      
128       	906.5  	-5.9  	86    	4.1     	329   	727    	-58.964178	-62.206174	267.66	-7.8    	-5.5      	381.74 	0.111835 	5.7     	53.6         	171        	871      
130       	905.3  	-5.9  	86    	4.0     	328   	738    	-58.964097	-62.206239	267.40	-7.9    	-5.6      	383.26 	0.112071 	5.7     	53.7         	171        	885      
132       	904.0  	-6.0  	86    	3.9     	329   	749    	-58.964017	-62.206304	267.13	-8.0    	-5.7      	384.77 	0.112314 	5.7     	53.7         	171        	898      
134       	902.8  	-6.1  	86    	3.9     	329   	761    	-58.963936	-62.206369	266.87	-8.0    	-5.7      	386.28 	0.112556 	5.7     	53.7         	170        	912      
136       	901.5  	-6.2  	86    	3.9     	330   	772    	-58.963876	-62.206428	266.60	-8.1    	-5.8      	387.74 	0.112799 	5.5     	53.8         	170        	925      
138       	900.3  	-6.3  	87    	3.9     	331   	782    	-58.963838	-62.206480	266.34	-8.2    	-5.9      	389.13 	0.113042 	5.3     	53.8         	170        	937      
140       	899.0  	-6.4  	87    	3.8     	332   	793    	-58.963799	-62.206533	266.07	-8.2    	-6.0      	390.53 	0.113285 	5.3     	53.9         	170        	949      
142       	897.8  	-6.5  	87    	3.8     	333   	803    	-58.963761	-62.206586	265.80	-8.3    	-6.1      	391.90 	0.113340 	5.3     	54.0         	170        	961      
144       	896.6  	-6.5  	86    	3.8     	334   	814    	-58.963723	-62.206639	265.46	-8.4    	-6.1      	393.23 	0.112826 	5.3     	54.1         	170        	974      
146       	895.4  	-6.5  	86    	3.7     	335   	824    	-58.963684	-62.206692	265.13	-8.5    	-6.2      	394.54 	0.112313 	5.3     	54.1         	170        	986      
148       	894.2  	-6.6  	86    	3.7     	336   	835    	-58.963646	-62.206744	264.79	-8.6    	-6.2      	395.85 	0.111799 	5.3     	54.2         	169        	998      
150       	893.0  	-6.6  	85    	3.7     	337   	845    	-58.963608	-62.206797	264.45	-8.7    	-6.2      	397.18 	0.111285 	5.3     	54.3         	169        	1010     
152       	891.8  	-6.6  	85    	3.6     	338   	856    	-58.963569	-62.206850	264.12	-8.8    	-6.3      	398.49 	0.110771 	5.3     	54.3         	169        	1022     
154       	890.6  	-6.7  	84    	3.5     	339   	867    	-58.963531	-62.206903	263.78	-8.9    	-6.3      	399.82 	0.110257 	5.3     	54.4         	169        	1034     
156       	889.4  	-6.7  	84    	3.4     	339   	877    	-58.963493	-62.206955	263.47	-8.9    	-6.4      	401.16 	0.109970 	5.3     	54.5         	169        	1046     
158       	888.2  	-6.8  	84    	3.4     	340   	888    	-58.963454	-62.207008	263.17	-9.0    	-6.4      	402.52 	0.109874 	5.3     	54.5         	169        	1059     
160       	887.0  	-6.8  	84    	3.3     	341   	898    	-58.963416	-62.207061	262.87	-9.1    	-6.5      	403.87 	0.109779 	5.3     	54.6         	169        	1071     
162       	885.9  	-6.9  	84    	3.2     	342   	909    	-58.963378	-62.207114	262.56	-9.1    	-6.5      	405.23 	0.109684 	5.3     	54.6         	169        	1083     
164       	884.7  	-6.9  	84    	3.1     	343   	919    	-58.963339	-62.207167	262.26	-9.2    	-6.6      	406.58 	0.109588 	5.3     	54.7         	169        	1095     
166       	883.5  	-7.0  	84    	3.0     	344   	930    	-58.963295	-62.207214	261.96	-9.2    	-6.6      	407.91 	0.109493 	5.2     	54.8         	169        	1107     
168       	882.3  	-7.0  	84    	3.0     	345   	940    	-58.963246	-62.207255	261.67	-9.3    	-6.7      	409.22 	0.109400 	5.1     	54.9         	169        	1118     
170       	881.2  	-7.1  	84    	2.9     	346   	950    	-58.963196	-62.207296	261.40	-9.4    	-6.7      	410.57 	0.109497 	5.1     	55.0         	168        	1129     
172       	880.1  	-7.1  	84    	2.9     	345   	960    	-58.963147	-62.207338	261.14	-9.4    	-6.8      	411.91 	0.109637 	5.1     	55.0         	168        	1141     
174       	879.0  	-7.2  	84    	2.8     	343   	971    	-58.963097	-62.207379	260.88	-9.4    	-6.9      	413.25 	0.109778 	5.1     	55.1         	168        	1152     
176       	877.9  	-7.3  	84    	2.8     	341   	981    	-58.963047	-62.207420	260.62	-9.5    	-6.9      	414.61 	0.109919 	5.1     	55.2         	168        	1163     
178       	876.7  	-7.3  	84    	2.8     	340   	991    	-58.962998	-62.207462	260.36	-9.5    	-7.0      	415.95 	0.110059 	5.1     	55.3         	168        	1174     
180       	875.6  	-7.4  	84    	2.7     	338   	1001   	-58.962948	-62.207503	260.08	-9.6    	-7.0      	417.27 	0.110193 	5.1     	55.4         	168        	1186     
182       	874.5  	-7.4  	84    	2.7     	337   	1012   	-58.962899	-62.207544	259.79	-9.6    	-7.0      	418.59 	0.110308 	5.1     	55.5         	168        	1197     
184       	873.3  	-7.4  	84    	2.7     	335   	1022   	-58.962849	-62.207586	259.47	-9.6    	-7.1      	419.87 	0.110275 	5.1     	55.5         	167        	1208     
186       	872.1  	-7.4  	84    	2.7     	333   	1032   	-58.962800	-62.207627	259.15	-9.7    	-7.1      	421.16 	0.110242 	5.1     	55.6         	167        	1220     
188       	870.9  	-7.5  	84    	2.6     	332   	1042   	-58.962750	-62.207668	258.83	-9.7    	-7.1      	422.45 	0.110210 	5.1     	55.7         	167        	1231     
190       	869.7  	-7.5  	84    	2.6     	330   	1052   	-58.962700	-62.207710	258.51	-9.7    	-7.2      	423.74 	0.110177 	5.1     	55.8         	167        	1242     
192       	868.6  	-7.5  	84    	2.5     	329   	1063   	-58.962651	-62.207751	258.20	-9.8    	-7.2      	425.03 	0.110146 	5.1     	55.8         	167        	1254     
194       	867.4  	-7.6  	84    	2.4     	329   	1073   	-58.962601	-62.207792	257.89	-9.8    	-7.2      	426.33 	0.110116 	5.1     	55.9         	167        	1265     
196       	866.2  	-7.6  	84    	2.2     	328   	1084   	-58.962578	-62.207814	257.57	-9.8    	-7.3      	427.69 	0.110089 	5.4     	56.1         	167        	1275     
198       	864.9  	-7.7  	84    	2.1     	327   	1095   	-58.962575	-62.207820	257.24	-9.9    	-7.3      	429.13 	0.110078 	5.6     	56.3         	167        	1285     
200       	863.7  	-7.7  	84    	2.0     	326   	1106   	-58.962572	-62.207826	256.92	-9.9    	-7.4      	430.55 	0.110067 	5.6     	56.6         	167        	1295     
202       	862.5  	-7.7  	84    	1.9     	325   	1117   	-58.962569	-62.207832	256.60	-10.0   	-7.4      	431.98 	0.110056 	5.6     	56.8         	167        	1304     
204       	861.3  	-7.8  	84    	1.7     	324   	1128   	-58.962566	-62.207838	256.29	-10.0   	-7.4      	433.42 	0.110052 	5.6     	57.1         	167        	1314     
206       	860.0  	-7.9  	84    	1.6     	323   	1139   	-58.962563	-62.207844	256.02	-10.1   	-7.5      	434.91 	0.110063 	5.6     	57.3         	167        	1324     
208       	858.8  	-8.0  	84    	1.5     	321   	1151   	-58.962560	-62.207850	255.75	-10.2   	-7.6      	436.38 	0.110074 	5.6     	57.5         	167        	1334     
210       	857.6  	-8.1  	84    	1.4     	320   	1162   	-58.962557	-62.207856	255.48	-10.3   	-7.7      	437.87 	0.110104 	5.6     	57.8         	167        	1343     
212       	856.4  	-8.1  	84    	1.3     	321   	1173   	-58.962554	-62.207863	255.22	-10.4   	-7.8      	439.35 	0.110283 	5.6     	58.0         	167        	1353     
214       	855.1  	-8.2  	84    	1.2     	322   	1184   	-58.962551	-62.207869	254.95	-10.4   	-7.9      	440.84 	0.110462 	5.6     	58.2         	167        	1363     
216       	853.9  	-8.3  	84    	1.1     	324   	1195   	-58.962548	-62.207875	254.69	-10.5   	-8.0      	442.32 	0.110641 	5.6     	58.4         	167        	1373     
218       	852.7  	-8.4  	84    	1.0     	326   	1206   	-58.962545	-62.207881	254.43	-10.6   	-8.1      	443.82 	0.110823 	5.6     	58.6         	167        	1383     
220       	851.4  	-8.5  	84    	0.9     	331   	1217   	-58.962542	-62.207887	254.17	-10.7   	-8.2      	445.30 	0.111005 	5.6     	58.9         	167        	1393     
222       	850.2  	-8.6  	84    	0.8     	339   	1229   	-58.962539	-62.207893	253.91	-10.8   	-8.3      	446.80 	0.111186 	5.6     	59.1         	167        	1403     
224       	849.0  	-8.7  	85    	0.7     	360   	1240   	-58.962536	-62.207899	253.65	-10.8   	-8.4      	448.28 	0.111381 	5.6     	59.3         	167        	1412     
226       	847.8  	-8.8  	85    	0.6     	055   	1251   	-58.962535	-62.207902	253.39	-10.9   	-8.5      	449.77 	0.111596 	5.5     	59.5         	167        	1422     
228       	846.5  	-8.9  	85    	0.5     	097   	1262   	-58.962536	-62.207900	253.13	-11.0   	-8.6      	451.22 	0.111811 	5.5     	59.7         	167        	1431     
230       	845.3  	-9.0  	85    	0.4     	111   	1273   	-58.962537	-62.207899	252.85	-11.0   	-8.7      	452.64 	0.112014 	5.5     	59.9         	167        	1441     
232       	844.1  	-9.0  	85    	0.4     	113   	1284   	-58.962539	-62.207898	252.56	-11.1   	-8.7      	454.07 	0.112218 	5.5     	60.2         	167        	1450     
234       	842.9  	-9.1  	85    	0.3     	114   	1294   	-58.962540	-62.207896	252.28	-11.1   	-8.8      	455.50 	0.112422 	5.5     	60.4         	167        	1460     
236       	841.7  	-9.2  	85    	0.3     	116   	1305   	-58.962541	-62.207895	252.00	-11.2   	-8.9      	456.94 	0.112626 	5.5     	60.6         	167        	1469     
238       	840.5  	-9.3  	85    	0.3     	118   	1316   	-58.962543	-62.207893	251.72	-11.2   	-8.9      	458.38 	0.112780 	5.5     	60.8         	167        	1478     
240       	839.3  	-9.3  	85    	0.2     	122   	1327   	-58.962544	-62.207892	251.44	-11.3   	-9.0      	459.81 	0.112910 	5.5     	61.0         	167        	1488     
242       	838.1  	-9.4  	86    	0.2     	126   	1338   	-58.962545	-62.207890	251.16	-11.3   	-9.1      	461.25 	0.113039 	5.5     	61.2         	167        	1497     
244       	836.9  	-9.5  	86    	0.2     	133   	1349   	-58.962547	-62.207889	250.89	-11.4   	-9.2      	462.68 	0.113167 	5.5     	61.4         	167        	1507     
246       	835.7  	-9.5  	86    	0.2     	143   	1360   	-58.962548	-62.207887	250.61	-11.5   	-9.2      	464.11 	0.113296 	5.5     	61.6         	167        	1516     
248       	834.6  	-9.6  	86    	0.1     	158   	1371   	-58.962549	-62.207886	250.33	-11.5   	-9.3      	465.56 	0.113425 	5.5     	61.8         	167        	1526     
250       	833.4  	-9.7  	86    	0.1     	180   	1382   	-58.962551	-62.207885	250.04	-11.6   	-9.4      	466.99 	0.113554 	5.5     	62.0         	167        	1536     
252       	832.1  	-9.7  	86    	0.1     	212   	1393   	-58.962552	-62.207883	249.76	-11.6   	-9.4      	468.42 	0.113822 	5.5     	62.2         	167        	1545     
254       	830.9  	-9.8  	86    	0.2     	288   	1404   	-58.962553	-62.207882	249.47	-11.6   	-9.5      	469.84 	0.114097 	5.5     	62.4         	167        	1555     
256       	829.7  	-9.8  	86    	0.2     	314   	1415   	-58.962555	-62.207880	249.19	-11.7   	-9.5      	471.26 	0.114370 	5.5     	62.6         	167        	1564     
258       	828.5  	-9.9  	87    	0.2     	323   	1425   	-58.962523	-62.207891	248.90	-11.7   	-9.6      	472.65 	0.114644 	5.4     	62.8         	167        	1574     
260       	827.3  	-10.0 	87    	0.3     	326   	1436   	-58.962486	-62.207903	248.61	-11.7   	-9.7      	474.04 	0.114918 	5.3     	62.9         	167        	1585     
262       	826.1  	-10.0 	87    	0.3     	329   	1447   	-58.962449	-62.207915	248.32	-11.6   	-9.8      	475.44 	0.115192 	5.3     	63.0         	166        	1595     
264       	824.9  	-10.1 	87    	0.4     	330   	1457   	-58.962412	-62.207927	248.04	-11.6   	-9.8      	476.84 	0.115467 	5.3     	63.1         	166        	1605     
266       	823.8  	-10.1 	87    	0.4     	331   	1468   	-58.962375	-62.207939	247.76	-11.7   	-9.9      	478.22 	0.115547 	5.3     	63.2         	166        	1616     
268       	822.6  	-10.2 	87    	0.4     	332   	1479   	-58.962338	-62.207951	247.47	-11.7   	-9.9      	479.61 	0.115605 	5.3     	63.3         	166        	1626     
270       	821.5  	-10.3 	87    	0.5     	332   	1489   	-58.962301	-62.207963	247.19	-11.8   	-10.0     	481.01 	0.115664 	5.3     	63.5         	166        	1636     
272       	820.3  	-10.3 	87    	0.6     	322   	1500   	-58.962264	-62.207975	246.90	-11.8   	-10.1     	482.39 	0.115723 	5.3     	63.6         	166        	1647     
274       	819.2  	-10.4 	87    	0.7     	314   	1511   	-58.962227	-62.207988	246.62	-11.9   	-10.1     	483.78 	0.115782 	5.3     	63.7         	166        	1657     
276       	818.0  	-10.4 	87    	0.8     	308   	1521   	-58.962190	-62.208000	246.34	-11.9   	-10.2     	485.19 	0.115841 	5.3     	63.8         	166        	1667     
278       	817.0  	-10.5 	87    	0.9     	304   	1532   	-58.962154	-62.208012	246.09	-12.0   	-10.2     	486.61 	0.115899 	5.3     	63.9         	166        	1678     
280       	815.9  	-10.5 	87    	1.0     	300   	1543   	-58.962117	-62.208024	245.82	-12.0   	-10.3     	488.00 	0.115841 	5.3     	64.0         	165        	1688     
282       	814.9  	-10.6 	87    	1.1     	298   	1553   	-58.962080	-62.208036	245.55	-12.1   	-10.3     	489.42 	0.115776 	5.3     	64.1         	165        	1699     
284       	813.8  	-10.6 	87    	1.2     	295   	1564   	-58.962043	-62.208048	245.28	-12.2   	-10.4     	490.83 	0.115711 	5.3     	64.2         	165        	1709     
286       	812.8  	-10.7 	87    	1.3     	294   	1575   	-58.962006	-62.208060	245.01	-12.2   	-10.4     	492.24 	0.115647 	5.3     	64.3         	165        	1719     
288       	811.7  	-10.7 	87    	1.4     	292   	1585   	-58.961956	-62.208071	244.74	-12.3   	-10.5     	493.62 	0.115582 	5.3     	64.4         	165        	1730     
290       	810.6  	-10.8 	87    	1.5     	291   	1596   	-58.961869	-62.208077	244.45	-12.3   	-10.5     	494.95 	0.115517 	5.1     	64.5         	165        	1740     
292       	809.5  	-10.8 	87    	1.6     	289   	1606   	-58.961782	-62.208084	244.16	-12.4   	-10.6     	496.27 	0.115455 	5.1     	64.6         	164        	1750     
294       	808.3  	-10.9 	87    	1.7     	288   	1616   	-58.961694	-62.208090	243.86	-12.4   	-10.6     	497.57 	0.115394 	5.1     	64.7         	164        	1760     
296       	807.2  	-10.9 	87    	1.8     	287   	1626   	-58.961607	-62.208097	243.57	-12.5   	-10.7     	498.90 	0.115333 	5.1     	64.7         	164        	1770     
298       	806.0  	-11.0 	87    	1.9     	286   	1637   	-58.961520	-62.208103	243.27	-12.5   	-10.7     	500.22 	0.115271 	5.1     	64.8         	163        	1780     
300       	804.9  	-11.0 	87    	2.0     	285   	1647   	-58.961433	-62.208110	242.98	-12.6   	-10.8     	501.53 	0.115210 	5.1     	64.9         	163        	1790     
302       	803.7  	-11.1 	87    	2.2     	284   	1657   	-58.961345	-62.208116	242.68	-12.7   	-10.8     	502.85 	0.115149 	5.1     	65.0         	163        	1801     
304       	802.7  	-11.1 	87    	2.3     	283   	1667   	-58.961258	-62.208123	242.40	-12.7   	-10.9     	504.19 	0.115086 	5.1     	65.1         	162        	1811     
306       	801.6  	-11.2 	86    	2.4     	282   	1678   	-58.961171	-62.208130	242.12	-12.8   	-10.9     	505.51 	0.114857 	5.1     	65.1         	162        	1821     
308       	800.5  	-11.2 	86    	2.5     	282   	1688   	-58.961084	-62.208136	241.84	-12.9   	-11.0     	506.84 	0.114464 	5.1     	65.2         	162        	1831     
310       	799.5  	-11.3 	86    	2.6     	281   	1698   	-58.960996	-62.208143	241.55	-13.0   	-11.0     	508.17 	0.114070 	5.1     	65.3         	161        	1841     
312       	798.4  	-11.3 	85    	2.5     	281   	1708   	-58.960909	-62.208149	241.26	-13.0   	-11.1     	509.48 	0.113677 	5.1     	65.4         	161        	1851     
314       	797.4  	-11.3 	85    	2.4     	281   	1719   	-58.960822	-62.208156	240.97	-13.1   	-11.1     	510.81 	0.113283 	5.1     	65.4         	161        	1862     
316       	796.3  	-11.4 	85    	2.3     	281   	1729   	-58.960735	-62.208162	240.71	-13.2   	-11.2     	512.15 	0.112903 	5.1     	65.5         	161        	1872     
318       	795.2  	-11.5 	84    	2.2     	280   	1740   	-58.960649	-62.208166	240.43	-13.4   	-11.3     	513.57 	0.112524 	5.4     	65.6         	160        	1883     
320       	794.0  	-11.6 	84    	2.1     	280   	1751   	-58.960568	-62.208158	240.16	-13.5   	-11.4     	515.09 	0.112300 	5.7     	65.7         	160        	1893     
322       	792.9  	-11.7 	84    	2.0     	280   	1763   	-58.960488	-62.208150	239.89	-13.6   	-11.4     	516.61 	0.112118 	5.7     	65.8         	160        	1904     
324       	791.7  	-11.8 	84    	1.9     	280   	1774   	-58.960408	-62.208142	239.62	-13.7   	-11.5     	518.11 	0.111936 	5.7     	66.0         	159        	1914     
326       	790.6  	-11.8 	84    	1.8     	279   	1785   	-58.960327	-62.208134	239.35	-13.8   	-11.6     	519.63 	0.111754 	5.7     	66.1         	159        	1925     
328       	789.5  	-11.9 	84    	1.7     	279   	1797   	-58.960247	-62.208126	239.07	-13.9   	-11.7     	521.14 	0.111564 	5.7     	66.2         	159        	1936     
